,backlinks,domain,domain_score,expiration_date,facebook_shares,iddomain_stats,insert_time,organic_traffic,registrar,sharethis_total,twitter_retweets,twitter_tweets,value_dollar
0,,blog.leocelis.com,,,1221.0,16,2019-05-25 23:05:09,,,250.0,2.0,9.0,935.0
1,,sharethis.com,,,234517.0,18,2019-05-25 23:59:57,,,780391.0,4.0,21.0,13233.0
2,,mortalkombat.com,,,12216.0,19,2019-05-26 00:29:47,,,,510911.0,85.0,7320.0
3,,AADEGREE.ME,,,,21,2019-05-28 22:06:50,,,,,,100.0
4,,ACTIONTARGETED.COM,,,,22,2019-05-28 22:06:50,,,,,,1353.0
5,,ACTIONTARGETING.COM,,,,23,2019-05-28 22:06:51,,,,,,1467.0
6,,ADDFEEDADS.COM,,,,24,2019-05-28 22:06:51,,,,,,415.0
7,,ADSINEWSFEED.COM,,,,25,2019-05-28 22:06:52,,,,,,557.0
8,,ADSINFEED.COM,,,,26,2019-05-28 22:06:52,,,,,,1065.0
9,,ADSINMYFEED.COM,,,,27,2019-05-28 22:06:52,,,,,,151.0
10,,ADSINNEWSFEED.COM,,,,28,2019-05-28 22:06:53,,,,,,539.0
11,,ADSINURFEED.COM,,,,29,2019-05-28 22:06:53,,,,,,148.0
12,,ADSINYOURFEED.COM,,,,30,2019-05-28 22:06:53,,,,,,493.0
13,,AMPEDCONTENT.COM,,,,31,2019-05-28 22:06:54,,,,,,1156.0
14,,AMPIFADS.COM,,,,32,2019-05-28 22:06:54,,,,,,1086.0
15,,AMPINFEED.COM,,,,33,2019-05-28 22:06:55,,,,,,1144.0
16,,AMPLIFYACTIVITY.COM,,,,34,2019-05-28 22:06:55,,,,,,1055.0
17,,AMPLIFYFEED.COM,,,,35,2019-05-28 22:06:55,,,,,,1223.0
18,,AMPMOBILEADS.COM,,,,36,2019-05-28 22:06:56,,,,,,908.0
19,,AMPUSHACTIONS.COM,,,,37,2019-05-28 22:06:56,,,,,,298.0
20,,AMPUSHFEED.COM,,,,38,2019-05-28 22:06:56,,,,,,425.0
21,,AMPUSHINSIGHT.COM,,,,39,2019-05-28 22:06:57,,,,,,649.0
22,,AMPUSHLOCAL.COM,,,,40,2019-05-28 22:06:57,,,,,,464.0
23,,AMPUSHSOCIAL.INFO,,,,41,2019-05-28 22:06:58,,,,,,100.0
24,,AMPUSHSOCIAL.NET,,,,42,2019-05-28 22:06:58,,,,,,100.0
25,,AMPUSHSOCIAL.ORG,,,,43,2019-05-28 22:06:58,,,,,,100.0
26,,AMPUSHYOURFEED.COM,,,,44,2019-05-28 22:06:59,,,,,,444.0
27,,ASSISTEDSENIORLIVING.INFO,,,,45,2019-05-28 22:06:59,,,,,,100.0
28,,BADEGREE.ME,,,,46,2019-05-28 22:07:00,,,,,,100.0
29,,BEGINLIVINGSOCIAL.COM,,,,47,2019-05-28 22:07:00,,,,,,1005.0
30,,BSDEGREE.ME,,,,48,2019-05-28 22:07:00,,,,,,113.0
31,,BUYWITHMEDEALS.COM,,,,49,2019-05-28 22:07:01,,,,,,1001.0
32,,CUSTOMVERBS.COM,,,,50,2019-05-28 22:07:01,,,,,,1127.0
33,,DEGREEACE.COM,,,,51,2019-05-28 22:07:01,,,,,,1322.0
34,,DENTALSCHOOL.ME,,,,52,2019-05-28 22:07:02,,,,,,477.0
35,,DOCTORALDEGREE.ME,,,,53,2019-05-28 22:07:02,,,,,,100.0
36,,DOCTORATEDEGREE.ME,,,,54,2019-05-28 22:07:03,,,,,,100.0
37,,EDUCATEMEMAYBE.COM,,,,55,2019-05-28 22:07:03,,,,,,943.0
38,,EDUCATIONAMERICA.CO,,,,56,2019-05-28 22:07:03,,,,,,146.0
39,,EDUMARKETING.BIZ,,,,57,2019-05-28 22:07:04,,,,,,133.0
40,,EFFICIENTFEEDAD.COM,,,,58,2019-05-28 22:07:04,,,,,,516.0
41,,FBFEEDANALYTICS.COM,,,,59,2019-05-28 22:07:04,,,,,,342.0
42,,FBMEDIALINK.COM,,,,60,2019-05-28 22:07:05,,,,,,989.0
43,,FBMOBILEADS.CO,,,,61,2019-05-28 22:07:05,,,,,,100.0
44,,FBMOBILEADS.NET,,,,62,2019-05-28 22:07:06,,,,,,105.0
45,,FDNEWSFEED.COM,,,,63,2019-05-28 22:07:06,,,,,,890.0
46,,FEEDADTARGET.COM,,,,64,2019-05-28 22:07:06,,,,,,424.0
47,,FEEDCOFFERS.COM,,,,65,2019-05-28 22:07:07,,,,,,723.0
48,,FEEDDSP.COM,,,,66,2019-05-28 22:07:07,,,,,,1291.0
49,,FEEDMEREVENUE.COM,,,,67,2019-05-28 22:07:07,,,,,,1006.0
50,,FEEDMOBILEADS.COM,,,,68,2019-05-28 22:07:08,,,,,,756.0
51,,FEEDROI.COM,,,,69,2019-05-28 22:07:08,,,,,,1228.0
52,,FEEDSAINTFREE.COM,,,,70,2019-05-28 22:07:09,,,,,,643.0
53,,FEEDTARGETER.COM,,,,71,2019-05-28 22:07:09,,,,,,1042.0
54,,FEEDTARGETING.COM,,,,72,2019-05-28 22:07:09,,,,,,1370.0
55,,FEEDYOURFEED.COM,,,,73,2019-05-28 22:07:10,,,,,,1370.0
56,,FMYHS.COM,,,3.0,74,2019-05-28 22:07:10,,,,,,491.0
57,,FREEYOURFEED.COM,,,,75,2019-05-28 22:07:10,,,,,,1209.0
58,,HOMERUNDEAL.COM,,,1.0,76,2019-05-28 22:07:11,,,,,,1080.0
59,,HOMESECURITYDEALSONLINE.COM,,,,77,2019-05-28 22:07:11,,,,,,679.0
60,,INFEEDAD.COM,,,,78,2019-05-28 22:07:12,,,,,,1167.0
61,,INMOBFEED.COM,,,,79,2019-05-28 22:07:12,,,,,,1073.0
62,,INMYFEED.COM,,,,80,2019-05-28 22:07:12,,,,,,1218.0
63,,INSTREAMDSP.COM,,,,81,2019-05-28 22:07:13,,,,,,562.0
64,,INSUREMEMAYBE.COM,,,,82,2019-05-28 22:07:13,,,,,,1131.0
65,,KIURIKA.COM,,,,83,2019-05-28 22:07:13,,,,,,947.0
66,,LEVERAGEDFEED.COM,,,,84,2019-05-28 22:07:14,,,,,,1294.0
67,,LEVERAGEDNEWSFEED.COM,,,,85,2019-05-28 22:07:14,,,,,,786.0
68,,LEVERAGEMYFEED.COM,,,,86,2019-05-28 22:07:15,,,,,,1172.0
69,,LEVERAGEYOURFEED.COM,,,,87,2019-05-28 22:07:15,,,,,,1202.0
70,,LIKESADS.COM,,,,88,2019-05-28 22:07:15,,,,,,1241.0
71,,LIKESGRAPH.COM,,,,89,2019-05-28 22:07:16,,,,,,1508.0
72,,LIKESGRAPH.INFO,,,,90,2019-05-28 22:07:16,,,,,,100.0
73,,LIKESGRAPH.NET,,,,91,2019-05-28 22:07:17,,,,,,100.0
74,,LIKESGRAPH.ORG,,,,92,2019-05-28 22:07:17,,,,,,100.0
75,,MBAONLINE.ME,,,,93,2019-05-28 22:07:17,,,,,,857.0
76,,MIVIDAESLATINO.COM,,,,94,2019-05-28 22:07:18,,,,,,514.0
77,,MOBILEADSFEED.COM,,,,95,2019-05-28 22:07:18,,,,,,697.0
78,,MOBILEADSPLUGIN.COM,,,,96,2019-05-28 22:07:18,,,,,,375.0
79,,MOBILEFEEDADS.COM,,,,97,2019-05-28 22:07:19,,,,,,1375.0
80,,MOBILEFEEDADS.NET,,,,98,2019-05-28 22:07:19,,,,,,100.0
81,,MOBILIZEFEED.COM,,,,99,2019-05-28 22:07:20,,,,,,1210.0
82,,MONETIZEFEED.COM,,,,100,2019-05-28 22:07:20,,,,,,1169.0
83,,MOPUSH.BIZ,,,318.0,101,2019-05-28 22:07:20,,,,,,100.0
84,,MOPUSH.NET,,,,102,2019-05-28 22:07:21,,,,,,423.0
85,,MSDEGREE.ME,,,,103,2019-05-28 22:07:21,,,,,,100.0
86,,MYSENIORLIVING.INFO,,,,104,2019-05-28 22:07:21,,,,,,100.0
87,,MYSENIORMORTGAGE.INFO,,,,105,2019-05-28 22:07:22,,,,,,100.0
88,,NEWSFEEDANALYSIS.COM,,,,106,2019-05-28 22:07:22,,,,,,1148.0
89,,NEWSFEEDDSP.COM,,,,107,2019-05-28 22:07:23,,,,,,870.0
90,,NEWSFEEDLOGIC.COM,,,,108,2019-05-28 22:07:23,,,,,,1040.0
91,,NEWSFEEDSP.COM,,,,109,2019-05-28 22:07:23,,,,,,1091.0
92,,NFDADS.COM,,,,110,2019-05-28 22:07:24,,,,,,1064.0
93,,OBILEFEEDADS.COM,,,,111,2019-05-28 22:07:24,,,,,,104.0
94,,OGADVERTISING.COM,,,,112,2019-05-28 22:07:24,,,,,,1145.0
95,,OGANALYTICS.COM,,,,113,2019-05-28 22:07:25,,,,,,1299.0
96,,OMNOMADS.COM,,,,114,2019-05-28 22:07:25,,,,,,1138.0
97,,ONLINESCHOOLING.ME,,,,115,2019-05-28 22:07:26,,,,,,262.0
98,,OPENGRAPHADS.COM,,,,116,2019-05-28 22:07:26,,,,,,713.0
99,,OPENGRAPHANALYTICS.COM,,,,117,2019-05-28 22:07:26,,,,,,1121.0
100,,OPENGRAPHDATA.COM,,,,118,2019-05-28 22:07:27,,,,,,1162.0
101,,OPENGRAPHINDEX.COM,,,,119,2019-05-28 22:07:27,,,,,,1134.0
102,,OPENGRAPHINSIGHTS.COM,,,,120,2019-05-28 22:07:27,,,,,,630.0
103,,OPENGRAPHNOUN.COM,,,,121,2019-05-28 22:07:28,,,,,,380.0
104,,OPENGRAPHNOUNS.COM,,,,122,2019-05-28 22:07:28,,,,,,301.0
105,,OPENGRAPHOBJECT.COM,,,,123,2019-05-28 22:07:29,,,,,,720.0
106,,OPENGRAPHPPC.COM,,,,124,2019-05-28 22:07:29,,,,,,629.0
107,,OPENGRAPHROI.COM,,,,125,2019-05-28 22:07:29,,,,,,487.0
108,,OPENGRAPHSTORIES.COM,,,,126,2019-05-28 22:07:30,,,,,,667.0
109,,OPENGRAPHVERB.COM,,,,127,2019-05-28 22:07:30,,,,,,423.0
110,,OPENGRAPHVERBS.COM,,,,128,2019-05-28 22:07:30,,,,,,360.0
111,,OPTIMIZEFEEDAD.COM,,,,129,2019-05-28 22:07:31,,,,,,451.0
112,,OPTIMIZEMOBILEFEED.COM,,,,130,2019-05-28 22:07:31,,,,,,362.0
113,,OPTIMIZENEWSFEED.COM,,,,131,2019-05-28 22:07:32,,,,,,1015.0
114,,OSCARMAYERSWEEPS.COM,,,,132,2019-05-28 22:07:32,,,,,,100.0
115,,OUFFERDEALS.COM,,,306.0,133,2019-05-28 22:07:32,,,,,,347.0
116,,POWERYOURFEED.COM,,,,134,2019-05-28 22:07:33,,,,,,1247.0
117,,PROMOTEINFEED.COM,,,,135,2019-05-28 22:07:33,,,,,,1067.0
118,,REACHREVERSE.COM,,,,136,2019-05-28 22:07:34,,,,,,2008.0
119,,REACHREVERSE.INFO,,,,137,2019-05-28 22:07:34,,,,,,100.0
120,,REACHREVERSE.NET,,,,138,2019-05-28 22:07:34,,,,,,100.0
121,,REACHREVERSE.ORG,,,,139,2019-05-28 22:07:35,,,,,,176.0
122,,REFERREDINTENT.COM,,,,140,2019-05-28 22:07:35,,,,,,1038.0
123,,REFERREDTARGETING.COM,,,,141,2019-05-28 22:07:35,,,,,,916.0
124,,REVERSEMORTGAGENOW.NET,,,,142,2019-05-28 22:07:36,,,,,,733.0
125,,REVERSEMORTGAGENOW.US,,,,143,2019-05-28 22:07:36,,,,,,103.0
126,,REVERSEREACH.INFO,,,,144,2019-05-28 22:07:37,,,,,,100.0
127,,REVERSEREACH.NET,,,,145,2019-05-28 22:07:37,,,,,,144.0
128,,ROIINFEED.COM,,,,146,2019-05-28 22:07:37,,,,,,1161.0
129,,ROINFEED.COM,,,,147,2019-05-28 22:07:38,,,,,,1055.0
130,,SCHOOLTEACHER.ME,,,,148,2019-05-28 22:07:38,,,,,,276.0
131,,SERVEFEEDADS.COM,,,,149,2019-05-28 22:07:38,,,,,,732.0
132,,SESAMEPLACETICKETS.COM,,,,150,2019-05-28 22:07:39,,,,,,734.0
133,,SOCIALIZEFEED.COM,,,,151,2019-05-28 22:07:39,,,,,,1220.0
134,,SPONSOREDGRAPH.COM,,,,152,2019-05-28 22:07:40,,,,,,1131.0
135,,SYNTAXSOCIAL.COM,,,,153,2019-05-28 22:07:40,,,,,,1599.0
136,,USERACTIONOBJECT.COM,,,,154,2019-05-28 22:07:40,,,,,,449.0
137,,VERBRANK.COM,,,,155,2019-05-28 22:07:41,,,,,,1140.0
138,,disneyplusshows.com,,,,156,2019-05-28 22:07:41,,,,,,678.0
139,,disneypluscontent.com,,,,157,2019-05-28 22:07:41,,,,,,403.0
140,,watchdisneyplus.com,,,,158,2019-05-28 22:07:42,,,,,,565.0
141,,disneyplusnow.com,,,,159,2019-05-28 22:07:42,,,,,,665.0
142,,disneypluslive.com,,,,160,2019-05-28 22:07:43,,,,,,661.0
143,,disneyplus-streaming.com,,,,161,2019-05-28 22:07:43,,,,,,102.0
144,,disneyplusstream.com,,,,162,2019-05-28 22:07:43,,,,,,399.0
145,,streamdisneyplus.com,,,,163,2019-05-28 22:07:44,,,,,,314.0
146,,streamingdisneyplus.com,,,,164,2019-05-28 22:07:44,,,,,,292.0
147,,disney-stream.com,,,,165,2019-05-28 22:07:44,,,,,,635.0
148,,streamdisney-plus.com,,,,166,2019-05-28 22:07:45,,,,,,121.0
149,,stream-disney-plus.com,,,,167,2019-05-28 22:07:45,,,,,,168.0
150,,disney-plus-streaming.com,,,,168,2019-05-28 22:07:46,,,,,,100.0
151,,stream-shows.com,,,,169,2019-05-28 22:07:46,,,,,,658.0
152,,stream-to-go.com,,,,170,2019-05-28 22:07:46,,,,,,781.0
153,,thestreamo.com,,,,171,2019-05-28 22:07:47,,,,,,1137.0
154,,threstreamingguide.com,,,,172,2019-05-28 22:07:47,,,,,,147.0
155,,streamingmap.com,,,,173,2019-05-28 22:07:48,,,,,,1308.0
156,,wheredoistreamit.com,,,,174,2019-05-28 22:07:48,,,,,,299.0
157,,streamshowsandmovies.com,,,,175,2019-05-28 22:07:48,,,,,,333.0
158,,streammarvel.com,,,,176,2019-05-28 22:07:49,,,,,,1293.0
159,,streamfrozen.com,,,,177,2019-05-28 22:07:49,,,,,,1364.0
160,,streamstarwars.com,,,,178,2019-05-28 22:07:49,,,,,,1076.0
161,,stream-starwars.com,,,,179,2019-05-28 22:07:50,,,,,,338.0
162,,watch-starwars.com,,,586.0,180,2019-05-28 22:07:50,,,,,,450.0
163,,watchstarwarstv.com,,,,181,2019-05-28 22:07:51,,,,,,671.0
164,,disney-plusstreaming.com,,,,182,2019-05-28 22:07:51,,,,,,101.0
165,,streamamericangods.com,,,,183,2019-05-28 22:07:51,,,,,,348.0
166,,beautyboxboss.com,,,,184,2019-05-28 22:07:52,,,,,,940.0
167,,top5beautyboxes.com,,,,185,2019-05-28 22:07:52,,,,,,244.0
168,,thewellnessmommy.com,,,,186,2019-05-28 22:07:53,,,,,,768.0
169,,wellnessbirdie.com,,,,187,2019-05-28 22:07:53,,,,,,1113.0
170,,thewellnessbirdie.com,,,,188,2019-05-28 22:07:53,,,,,,676.0
171,,wellnessbirdy.com,,,,189,2019-05-28 22:07:54,,,,,,1085.0
172,,thewellnessbirdy.com,,,,190,2019-05-28 22:07:54,,,,,,704.0
173,,peerby.com,,,3648.0,191,2019-05-29 19:34:06,,,,,,
174,,omni.co,,,129.0,192,2019-05-29 19:34:07,,,,,,
175,,fatllama.com,,,2362.0,193,2019-05-29 19:34:07,,,,,,
